response_task,,CEQ,CEQ,CEQ,CoT,CoT,CoT
audio_task,,ASR,GR,SER,ASR,GR,SER
model,Setting,,,,,,
qwen,Zero-shot,0.9456936741324479,0.145,0.36,0.211936662606577,0.627906976744186,0.275
qwen,ICL,1.3826235673610425,0.101875,0.344375,0.5420219244823382,0.465116279069767,0.28125
qwen2,Zero-shot,0.3836668864707505,0.6000000000000001,0.47,0.249695493300852,0.790697674418604,0.625
qwen2,ICL,0.24959915446488676,0.5875,0.510625,0.3261266747868449,0.7645348837209297,0.49375
blsp-emo,Zero-shot,0.17710621238512786,0.35000000000000003,0.515,0.411693057247259,0.0232558139534883,0.725
blsp-emo,ICL,0.2778606808412011,0.223125,0.555625,4.897838002436044,0.43604651162790664,0.659375
desta2_5,Zero-shot,0.21554098794696222,0.71,0.5700000000000001,0.116930572472594,0.813953488372093,0.55
desta2_5,ICL,0.432020010309189,0.49125,0.434375,3.8032886723507886,0.6598837209302322,0.55
