,,CEQ,CEQ,CEQ,CEQ,CEQ,CoT
,,change_case,startend,wrapping,json_format,Avg.,CoT
model,Setting,,,,,,
qwen2,Zero-shot,0.7760714285714286,0.6591666666666667,0.20324561403508773,0.0,0.40962092731829575,0.3058734530123755
qwen2,ICL,0.3323809523809524,0.5058854166666666,0.5404440789473685,0.3660096153846154,0.43618001584490074,0.32433856362482416
desta2_5,Zero-shot,0.9940476190476191,0.94375,0.9349999999999999,0.9853846153846154,0.9645455586080587,0.9248608844462575
desta2_5,ICL,0.560029761904762,0.5791145833333333,0.7303508771929824,0.7834294871794872,0.6632311774026413,0.9952981565625
blsp-emo,Zero-shot,0.6666666666666666,0.6191666666666666,0.38105263157894737,0.9583333333333334,0.6563048245614035,0.5785203885035582
blsp-emo,ICL,0.7904017857142858,0.8899479166666666,0.9593092105263158,0.98125,0.905227228226817,0.8568080205358354
qwen25_omni,Zero-shot,0.963095238095238,0.9037499999999999,0.9134210526315789,0.7335897435897436,0.8784640085791402,0.5891206537014367
qwen25_omni,ICL,0.8538541666666667,0.8515625,0.872828947368421,0.9602724358974359,0.8846295124831309,0.5212452612079677
gemini-2.5-flash,Zero-shot,0.9820238095238095,1.0,1.0,1.0,0.9955059523809524,0.9736842105263157
gemini-2.5-flash,ICL,0.7342857142857143,0.2713541666666667,0.9230646929824562,0.9571314102564102,0.7214589960478119,0.9975328946875
