IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,40,0.75
detectable_format_number_bullet_lists,1,40,0.95
detectable_format_number_bullet_lists,2,40,0.975
detectable_format_number_bullet_lists,3,40,0.975
detectable_format_number_bullet_lists,4,40,0.975
detectable_format_number_bullet_lists,5,40,1.0
detectable_format_number_bullet_lists,6,40,1.0
detectable_format_number_bullet_lists,7,40,0.975
detectable_format_number_bullet_lists,8,40,1.0
length_constraints_number_paragraphs,0,21,0.5238095238095238
length_constraints_number_paragraphs,1,21,0.5714285714285714
length_constraints_number_paragraphs,2,21,0.5714285714285714
length_constraints_number_paragraphs,3,21,0.7619047619047619
length_constraints_number_paragraphs,4,21,0.6666666666666666
length_constraints_number_paragraphs,5,21,0.5238095238095238
length_constraints_number_paragraphs,6,21,0.6190476190476191
length_constraints_number_paragraphs,7,21,0.6190476190476191
length_constraints_number_paragraphs,8,21,0.5238095238095238
length_constraints_number_sentences,0,33,0.7272727272727273
length_constraints_number_sentences,1,33,0.696969696969697
length_constraints_number_sentences,2,33,0.7272727272727273
length_constraints_number_sentences,3,33,0.6363636363636364
length_constraints_number_sentences,4,33,0.6060606060606061
length_constraints_number_sentences,5,33,0.5757575757575758
length_constraints_number_sentences,6,33,0.6666666666666666
length_constraints_number_sentences,7,33,0.6060606060606061
length_constraints_number_sentences,8,33,0.6060606060606061
length_constraints_number_words,0,20,0.8
length_constraints_number_words,1,20,0.9
length_constraints_number_words,2,20,0.95
length_constraints_number_words,3,20,0.9
length_constraints_number_words,4,20,0.85
length_constraints_number_words,5,20,0.95
length_constraints_number_words,6,20,1.0
length_constraints_number_words,7,20,1.0
length_constraints_number_words,8,20,0.95
