,,CEQ,CEQ,CEQ,CEQ,CEQ,CW,CW,CW,CW,CoT
,,change_case,startend,wrapping,json_format,Avg.,bullet_lists,keywords,length_constraints,Avg.,New CoT Acc
model,Setting,,,,,,,,,,
qwen2,Zero-shot,0.7760714285714286,0.6591666666666667,0.20324561403508773,0.0,0.40962092731829575,0.8277777777777778,0.75,0.5433427683427684,0.7070401820401822,0.3058734530123755
qwen2,ICL,0.553125,0.68671875,0.20333333333333334,0.0025,0.36141927083333336,0.7810185185185186,0.8175,0.5679064280626781,0.7221416488603989,0.6239145232671468
desta2_5,Zero-shot,0.9940476190476191,0.94375,0.9349999999999999,0.9853846153846154,0.9645455586080587,0.9092592592592593,0.86,0.806471768971769,0.8585770094103428,0.9248608844462575
desta2_5,ICL,0.9424702380952381,0.63078125,0.8134375,0.3764102564102564,0.6907748111263736,0.9668981481481481,0.88125,0.9071103086728086,0.9184194856069856,0.9905551943084454
blsp-emo,Zero-shot,0.6666666666666666,0.6191666666666666,0.38105263157894737,0.9583333333333334,0.6563048245614035,0.7685185185185185,0.53,0.5936947311947313,0.6307377499044166,0.5785203885035582
blsp-emo,ICL,0.5006994047619048,0.4565625,0.5182182017543859,0.018830128205128208,0.37357755868035475,0.978125,0.55125,0.7050794113294113,0.7448181371098038,0.9461550557595535
qwen25_omni,Zero-shot,0.963095238095238,0.9037499999999999,0.9134210526315789,0.7335897435897436,0.8784640085791402,0.00925925925925926,0.83,0.6037534225034225,0.48100422725422726,0.5891206537014367
qwen25_omni,ICL,0.51625,0.5853645833333334,0.519375,0.08342948717948719,0.42610476762820515,0.9614583333333333,0.8925,0.6813502180689681,0.8451028504674338,0.8132695271771155
gemini-2.5-flash,Zero-shot,0.9820238095238095,1.0,1.0,1.0,0.9955059523809524,0.9648148148148148,1.0,0.9301286676286676,0.9649811608144941,0.9736842105263157
gemini-2.5-flash,ICL,0.5885119047619047,0.8883854166666667,0.61375,0.5090384615384616,0.6499214457417583,0.9989583333333334,0.995,0.9342406147093647,0.9760663160142327,0.9991776315789473
gemini-3-flash-preview,Zero-shot,0.9945238095238096,1.0,0.995,1.0,0.9973809523809524,0.9916666666666667,1.0,0.9762896825396825,0.9893187830687831,
gemini-3-flash-preview,ICL,0.6431250000000001,0.9494270833333334,0.706875,0.5074038461538461,0.7017077323717948,1.0,0.99875,0.9732788912476413,0.9906762970825471,
cascade_qwen25-7b-instruct,Zero-shot,0.9845238095238096,1.0,0.995,0.9611538461538461,0.9851694139194139,0.8851851851851852,0.9199999999999999,0.556019906019906,0.7870683637350305,
cascade_qwen25-7b-instruct,ICL,0.7903125,0.9174479166666667,0.7625,0.49373397435897437,0.7409985977564102,0.9627314814814815,0.9675,0.6407275305712806,0.8569863373509207,
cascade_llama-3_1-8b-instruct,Zero-shot,0.99,0.8816666666666667,0.9091666666666667,0.9037179487179487,0.9211378205128204,0.8583333333333334,0.87,0.8323586136086135,0.8535639823139823,0.9131425948592408
cascade_llama-3_1-8b-instruct,ICL,0.9521875,0.7400520833333334,0.925,0.5912820512820512,0.8021304086538462,0.8489583333333334,0.94,0.8697004095441595,0.8862195809591643,0.9309346879391629
