IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.0,0.0,0.5543343055913388
change_case_english_capital,1,25,0.04,0.04,0.5041320044558308
change_case_english_capital,2,25,0.08,0.08,0.36689262913581044
change_case_english_capital,3,25,0.12,0.12,0.31465453389771514
change_case_english_capital,4,25,0.2,0.2,0.3211809408241221
change_case_english_capital,5,25,0.16,0.16,0.28494024818342945
change_case_english_capital,6,25,0.2,0.2,0.3130940551607658
change_case_english_capital,7,25,0.2,0.2,0.25333215039886103
change_case_english_capital,8,25,0.2,0.2,0.24976072182743247
change_case_english_lowercase,0,25,0.0,0.0,0.4671365085887198
change_case_english_lowercase,1,25,0.0,0.0,0.381054663828958
change_case_english_lowercase,2,25,0.08,0.08,0.28138612974865923
change_case_english_lowercase,3,25,0.08,0.08,0.24819420184145952
change_case_english_lowercase,4,25,0.08,0.08,0.28269487546916966
change_case_english_lowercase,5,25,0.16,0.16,0.21056240376703847
change_case_english_lowercase,6,25,0.16,0.16,0.15879694534486363
change_case_english_lowercase,7,25,0.24,0.24,0.2040202346424656
change_case_english_lowercase,8,25,0.24,0.24,0.14192577737518822
combination_repeat_prompt,0,25,0.0,0.0,0.6256188350496621
combination_repeat_prompt,1,25,0.04,0.04,0.6360944150252421
combination_repeat_prompt,2,25,0.2,0.2,0.4447406021714292
combination_repeat_prompt,3,25,0.52,0.52,0.21855961649044356
combination_repeat_prompt,4,25,0.64,0.64,0.19316279109361814
combination_repeat_prompt,5,25,0.6,0.6,0.20516279109361818
combination_repeat_prompt,6,25,0.64,0.64,0.1937977117285388
combination_repeat_prompt,7,25,0.6,0.6,0.19024215617298323
combination_repeat_prompt,8,25,0.64,0.64,0.16254984848067555
detectable_format_json_format,0,50,0.0,0.0,0.8428148459868976
detectable_format_json_format,1,50,0.0,0.0,0.6046771433491949
detectable_format_json_format,2,50,0.04,0.04,0.5213060514781029
detectable_format_json_format,3,50,0.06,0.06,0.46813673930879074
detectable_format_json_format,4,50,0.1,0.1,0.456909947581999
detectable_format_json_format,5,50,0.14,0.14,0.37740128957334107
detectable_format_json_format,6,50,0.16,0.16,0.33259431876637024
detectable_format_json_format,7,50,0.2,0.2,0.3336171862392377
detectable_format_json_format,8,50,0.2,0.2,0.33008255050460195
detectable_format_title,0,25,0.0,0.0,1.1307441803271034
detectable_format_title,1,25,0.04,0.04,0.6322026010119395
detectable_format_title,2,25,0.24,0.24,0.4776055314148698
detectable_format_title,3,25,0.12,0.12,0.40364541745475585
detectable_format_title,4,25,0.28,0.28,0.4762644650738035
detectable_format_title,5,25,0.24,0.24,0.4529787507880892
detectable_format_title,6,25,0.32,0.32,0.5122240338069571
detectable_format_title,7,25,0.36,0.36,0.5538194754023987
detectable_format_title,8,25,0.36,0.36,0.5791471107300341
startend_end_checker,0,25,0.0,0.0,1.1453489486995354
startend_end_checker,1,25,0.0,0.0,0.7084763387860045
startend_end_checker,2,25,0.04,0.04,0.5547508485899261
startend_end_checker,3,25,0.12,0.12,0.4410958079783638
startend_end_checker,4,25,0.12,0.12,0.3670005698831257
startend_end_checker,5,25,0.12,0.12,0.3677172183462244
startend_end_checker,6,25,0.2,0.2,0.34023146542436605
startend_end_checker,7,25,0.24,0.24,0.23269123553930857
startend_end_checker,8,25,0.2,0.2,0.27208339240205365
startend_quotation,0,25,0.0,0.0,0.5873447955969339
startend_quotation,1,25,0.04,0.04,0.4719287461182658
startend_quotation,2,25,0.32,0.32,0.29144390062652925
startend_quotation,3,25,0.32,0.32,0.21535308142874907
startend_quotation,4,25,0.32,0.32,0.2059779120061413
startend_quotation,5,25,0.32,0.32,0.2245509423913159
startend_quotation,6,25,0.36,0.36,0.1739894450651127
startend_quotation,7,25,0.36,0.36,0.19008458693417704
startend_quotation,8,25,0.36,0.36,0.184244347025897
